mouse,lesion,DAPI_count,total_host_count,B220_count,CD4_count,CD8_count,area,nonrep_tb,rep_tb,total_tb,B220_percent,CD4_percent,CD8_percent,Other_percent,B220_prop,CD4_prop,CD8_prop,DAPI_prop,DAPI_count_500,total_host_count_500,B220_count_500,CD4_count_500,CD8_count_500,RS_index,log_rep_tb,log_nonrep_tb,log_total_tb,log_RS_index,log_RS_prop,RS_prop,Vaccination,Timepoint
BCG25,L04,658,847,23,115,51,58286.63757,51,3,54,2.715466352,13.57733176,6.021251476,77.68595041,0.027154664,0.135773318,0.060212515,0.776859504,1.316,1.694,0.046,0.23,0.102,3.750260435,1.386294361,3.951243719,4.007333185,16.59944932,0.345939381,0.055555556,BCG,D114
BCG25,L05,344,559,69,96,50,66924.40824,11,0,11,12.34347048,17.17352415,8.944543828,61.53846154,0.123434705,0.171735242,0.089445438,0.615384615,0.688,1.118,0.138,0.192,0.1,0,0,2.48490665,2.48490665,0,0,0,BCG,D114
BCG25,L06,2081,2551,181,207,81,124495.1165,21,0,21,7.095256762,8.114464916,3.175225402,81.57585261,0.070952568,0.081144649,0.031752254,0.815758526,4.162,5.102,0.362,0.414,0.162,0,0,3.091042453,3.091042453,0,0,0,BCG,D114
BCG25,L07,169,236,17,41,12,31679.04059,13,3,16,7.203389831,17.37288136,5.084745763,71.61016949,0.072033898,0.173728814,0.050847458,0.716101695,0.338,0.472,0.034,0.082,0.024,15.64537158,1.386294361,2.63905733,2.833213344,63.06289555,0.489301084,0.1875,BCG,D114
BCG25,L08,2001,2262,57,111,94,151788.6736,79,13,92,2.519893899,4.907161804,4.1556145,88.46153846,0.025198939,0.049071618,0.041556145,0.884615385,4.002,4.524,0.114,0.222,0.188,6.692856104,2.63905733,4.382026635,4.532599493,12.06781259,0.58223925,0.141304348,BCG,D114
BCG21,L01,6307,11695,1655,877,690,610109.9843,669,61,730,14.15134673,7.498931167,5.899957247,53.9290295,0.141513467,0.074989312,0.058999572,0.539290295,12.614,23.39,3.31,1.754,1.38,5.691494903,4.127134385,6.507277712,6.59441346,3.576228137,0.625853142,0.083561644,BCG,D114
BCG21,L02,2601,2829,50,69,28,181534.705,73,12,85,1.767408978,2.43902439,0.989749028,91.94061506,0.01767409,0.024390244,0.00989749,0.919406151,5.202,5.658,0.1,0.138,0.056,4.939060707,2.564949357,4.304065093,4.454347296,9.383202556,0.575830573,0.141176471,BCG,D114
BCG21,L03,7995,19345,4859,2048,1243,866376.0572,1084,80,1164,25.11760145,10.58671491,6.425432928,41.32850866,0.251176014,0.105867149,0.064254329,0.413285087,15.99,38.69,9.718,4.096,2.486,4.440633706,4.394449155,6.989335266,7.060476366,2.294741871,0.622401227,0.068728522,BCG,D114
BCG21,L04,2949,5684,504,772,499,304944.2728,152,8,160,8.866995074,13.58198452,8.779028853,51.88247713,0.088669951,0.135819845,0.087790289,0.518824771,5.898,11.368,1.008,1.544,0.998,1.481536353,2.197224577,5.030437921,5.081404365,3.904795925,0.432404985,0.05,BCG,D114
BCG21,L05,3817,6568,765,562,273,336966.2935,95,7,102,11.64738124,8.556638246,4.156516443,58.11510353,0.116473812,0.085566382,0.041565164,0.581151035,7.634,13.136,1.53,1.124,0.546,1.144304122,2.079441542,4.564348191,4.634728988,3.214838411,0.448665186,0.068627451,BCG,D114
